order,species,frozen,tissue,buffer
Chiroptera,Acerodon celebensis,1,1,0
Chiroptera,Acerodon humilis,0,0,0
Chiroptera,Acerodon jubatus,0,1,0
Chiroptera,Acerodon leucotis,0,0,0
Chiroptera,Acerodon macklotii,0,0,0
Chiroptera,Aeorestes cinereus,11,242,26
Chiroptera,Aeorestes egregius,0,0,0
Chiroptera,Aeorestes semotus,0,0,0
Chiroptera,Aeorestes villosissimus,0,1,0
Chiroptera,Aethalops aequalis,0,0,0
Chiroptera,Aethalops alecto,0,17,0
Chiroptera,Afronycteris helios,0,0,0
Chiroptera,Afronycteris nanus,2,19,78
Chiroptera,Alionycteris paucidentata,0,6,0
Chiroptera,Ametrida centurio,17,39,1
Chiroptera,Amorphochilus schnablii,0,0,4
Chiroptera,Anoura aequatoris,0,41,0
Chiroptera,Anoura cadenai,0,1,0
Chiroptera,Anoura caudifer,1,64,16
Chiroptera,Anoura cultrata,0,10,2
Chiroptera,Anoura fistulata,0,3,2
Chiroptera,Anoura geoffroyi,0,161,6
Chiroptera,Anoura javieri,0,0,0
Chiroptera,Anoura latidens,0,1,0
Chiroptera,Anoura luismanueli,0,0,0
Chiroptera,Anoura peruana,0,9,1
Chiroptera,Anthops omatus,0,0,0
Chiroptera,Anthops ornatus,0,0,0
Chiroptera,Antrozous pallidus,1,304,40
Chiroptera,Aproteles bulmerae,0,0,0
Chiroptera,Archaeonycteris relicta,0,0,0
Chiroptera,Ardops nichollsi,0,79,3
Chiroptera,Arielulus circumdatus,0,0,0
Chiroptera,Arielulus cuprosus,0,2,0
Chiroptera,Arielulus societatis,0,0,0
Chiroptera,Ariteus flavescens,2,6,0
Chiroptera,Artibeus aequatorialis,0,105,0
Chiroptera,Artibeus amplus,0,3,1
Chiroptera,Artibeus anderseni,2,25,0
Chiroptera,Artibeus aztecus,0,143,0
Chiroptera,Artibeus bogotensis,0,8,6
Chiroptera,Artibeus cinereus,6,76,24
Chiroptera,Artibeus concolor,14,39,0
Chiroptera,Artibeus fimbriatus,0,87,0
Chiroptera,Artibeus fraterculus,0,261,0
Chiroptera,Artibeus glaucus,2,31,15
Chiroptera,Artibeus gnomus,24,39,0
Chiroptera,Artibeus hirsutus,0,13,19
Chiroptera,Artibeus inopinatus,0,104,0
Chiroptera,Artibeus jamaicensis,23,1242,322
Chiroptera,Artibeus lituratus,53,1352,91
Chiroptera,Artibeus obscurus,37,267,0
Chiroptera,Artibeus phaeotis,8,198,23
Chiroptera,Artibeus planirostris,18,351,104
Chiroptera,Artibeus ravus,0,11,11
Chiroptera,Artibeus rosenbergi,0,7,2
Chiroptera,Artibeus schwartzi,0,209,0
Chiroptera,Artibeus toltecus,2,101,7
Chiroptera,Artibeus watsoni,3,47,4
Chiroptera,Asellia arabica,0,0,0
Chiroptera,Asellia italosomalica,0,0,0
Chiroptera,Asellia patrizii,0,0,0
Chiroptera,Asellia tridens,0,59,1
Chiroptera,Aselliscus dongbacanus,0,0,0
Chiroptera,Aselliscus stoliczkanus,2,2,0
Chiroptera,Aselliscus tricuspidatus,1,16,0
Chiroptera,Austronomus australis,52,52,62
Chiroptera,Austronomus kuboriensis,0,0,0
Chiroptera,Balantiopteryx infosca,0,0,0
Chiroptera,Balantiopteryx infusca,0,0,0
Chiroptera,Balantiopteryx io,2,2,38
Chiroptera,Balantiopteryx plicata,0,190,104
Chiroptera,Balionycteris maculata,2,27,1
Chiroptera,Balionycteris seimundi,0,1,0
Chiroptera,Barbastella barbastellus,0,3,2
Chiroptera,Barbastella beijingensis,0,0,0
Chiroptera,Barbastella caspica,0,0,0
Chiroptera,Barbastella darjelingensis,0,0,1
Chiroptera,Barbastella leucomelas,0,0,1
Chiroptera,Barbastella pacifica,0,0,0
Chiroptera,Bauerus dubiaquercus,3,6,2
Chiroptera,Boneia bidens,0,0,0
Chiroptera,Brachyphylla cavernarum,0,245,29
Chiroptera,Brachyphylla nana,6,6,28
Chiroptera,Cabreramops aequatorianus,0,0,0
Chiroptera,Cardioderma cor,0,26,2
Chiroptera,Cardioderma leakeyi,0,0,0
Chiroptera,Carollia benkeithi,0,12,0
Chiroptera,Carollia brevicaudum,12,422,74
Chiroptera,Carollia castanea,7,223,15
Chiroptera,Carollia manu,0,2,0
Chiroptera,Carollia monohernandezi,0,0,0
Chiroptera,Carollia perspicillata,52,697,326
Chiroptera,Carollia sowelli,5,152,2
Chiroptera,Carollia subrufa,1,39,9
Chiroptera,Casinycteris argynnis,1,1,0
Chiroptera,Casinycteris campomaanensis,0,0,0
Chiroptera,Casinycteris ophiodon,0,0,0
Chiroptera,Cassistrellus dimissus,0,0,0
Chiroptera,Cassistrellus yokdonensis,0,0,0
Chiroptera,Centronycteris centralis,0,3,0
Chiroptera,Centronycteris maximiliani,1,2,0
Chiroptera,Centurio senex,5,26,5
Chiroptera,Chaerephon aloysiisabaudiae,0,0,0
Chiroptera,Chaerephon ansorgei,0,36,2
Chiroptera,Chaerephon atsinanana,0,33,0
Chiroptera,Chaerephon bemmeleni,0,0,0
Chiroptera,Chaerephon bivittatus,0,10,0
Chiroptera,Chaerephon bregullae,0,0,0
Chiroptera,Chaerephon chapini,0,0,0
Chiroptera,Chaerephon gallagheri,0,0,0
Chiroptera,Chaerephon jobensis,5,21,14
Chiroptera,Chaerephon jobimena,0,2,0
Chiroptera,Chaerephon johorensis,0,1,0
Chiroptera,Chaerephon leucogaster,0,64,0
Chiroptera,Chaerephon major,0,0,0
Chiroptera,Chaerephon nigeriae,0,1,1
Chiroptera,Chaerephon plicatus,0,17,195
Chiroptera,Chaerephon pumilus,8,175,99
Chiroptera,Chaerephon pusillus,0,27,0
Chiroptera,Chaerephon russatus,0,0,0
Chiroptera,Chaerephon solomonis,0,0,2
Chiroptera,Chaerephon tomensis,0,0,0
Chiroptera,Chalinolobus dwyeri,2,2,0
Chiroptera,Chalinolobus gouldii,345,421,244
Chiroptera,Chalinolobus morio,140,182,125
Chiroptera,Chalinolobus neocaledonicus,0,0,0
Chiroptera,Chalinolobus nigrogriseus,12,33,6
Chiroptera,Chalinolobus picatus,3,15,3
Chiroptera,Chalinolobus tuberculatus,0,0,1
Chiroptera,Cheiromeles parvidens,0,0,0
Chiroptera,Cheiromeles torquatus,0,5,1
Chiroptera,Chilonatalus macer,0,0,3
Chiroptera,Chilonatalus micropus,4,5,6
Chiroptera,Chilonatalus tumidifrons,0,4,45
Chiroptera,Chiroderma doriae,0,5,0
Chiroptera,Chiroderma gorgasi,0,0,0
Chiroptera,Chiroderma improvisum,0,2,0
Chiroptera,Chiroderma salvini,0,48,2
Chiroptera,Chiroderma scopaeum,0,3,0
Chiroptera,Chiroderma trinitatum,4,40,0
Chiroptera,Chiroderma villosum,5,78,3
Chiroptera,Chironax melanocephalus,0,6,1
Chiroptera,Chironax tumulus,0,0,0
Chiroptera,Choeroniscus godmani,2,12,0
Chiroptera,Choeroniscus minor,4,7,2
Chiroptera,Choeroniscus periosus,0,0,0
Chiroptera,Choeronycteris mexicana,3,73,23
Chiroptera,Chrotopterus auritus,7,34,9
Chiroptera,Cistugo lesueuri,0,0,0
Chiroptera,Cistugo seabrae,0,0,0
Chiroptera,Cloeotis percivali,0,0,0
Chiroptera,Coelops frithii,0,0,0
Chiroptera,Coelops robinsoni,0,2,0
Chiroptera,Coleura afra,0,37,32
Chiroptera,Coleura kibomalandy,0,2,0
Chiroptera,Coleura seychellensis,0,0,0
Chiroptera,Cormura brevirostris,5,22,0
Chiroptera,Corynorhinus mexicanus,0,31,0
Chiroptera,Corynorhinus rafinesquii,0,33,43
Chiroptera,Corynorhinus townsendii,0,319,3
Chiroptera,Craseonycteris thonglongyai,0,0,0
Chiroptera,Cynomops abrasus,1,9,3
Chiroptera,Cynomops greenhalli,0,4,0
Chiroptera,Cynomops kuizha,0,0,0
Chiroptera,Cynomops mastivus,0,0,0
Chiroptera,Cynomops mexicanus,0,0,0
Chiroptera,Cynomops milleri,0,0,0
Chiroptera,Cynomops planirostris,0,9,19
Chiroptera,Cynopterus brachyotis,41,278,17
Chiroptera,Cynopterus horsfieldii,0,15,5
Chiroptera,Cynopterus luzoniensis,0,0,0
Chiroptera,Cynopterus minutus,0,0,0
Chiroptera,Cynopterus nusatenggara,0,0,0
Chiroptera,Cynopterus sphinx,2,18,53
Chiroptera,Cynopterus titthaecheilus,0,0,1
Chiroptera,Cyttarops alecto,0,1,0
Chiroptera,Dasypterus ega,0,23,2
Chiroptera,Dasypterus insularis,0,0,0
Chiroptera,Dasypterus intermedius,0,35,2
Chiroptera,Dasypterus xanthinus,1,39,0
Chiroptera,Desmalopex leucopterus,0,4,0
Chiroptera,Desmalopex microleucopterus,0,7,0
Chiroptera,Desmodus rotundus,19,623,96
Chiroptera,Desmodus stocki,0,0,0
Chiroptera,Diaemus youngii,1,15,0
Chiroptera,Diclidurus albus,0,8,1
Chiroptera,Diclidurus ingens,0,0,0
Chiroptera,Diclidurus isabella,6,8,0
Chiroptera,Diclidurus scutatus,1,1,0
Chiroptera,Diphylla centralis,0,0,0
Chiroptera,Diphylla ecaudata,2,21,5
Chiroptera,Dobsonia anderseni,0,0,0
Chiroptera,Dobsonia beauforti,0,0,0
Chiroptera,Dobsonia chapmani,0,0,0
Chiroptera,Dobsonia crenulata,0,0,0
Chiroptera,Dobsonia exoleta,0,0,0
Chiroptera,Dobsonia inermis,43,6,0
Chiroptera,Dobsonia minor,0,15,0
Chiroptera,Dobsonia moluccensis,153,166,8
Chiroptera,Dobsonia pannietensis,0,0,0
Chiroptera,Dobsonia peronii,0,0,0
Chiroptera,Dobsonia praedatrix,0,2,0
Chiroptera,Dobsonia viridis,0,0,0
Chiroptera,Doryrhina camerunensis,0,0,0
Chiroptera,Doryrhina corynophyllus,0,0,0
Chiroptera,Doryrhina cyclops,2,8,11
Chiroptera,Doryrhina edwardshilli,0,0,0
Chiroptera,Doryrhina muscinus,0,1,0
Chiroptera,Doryrhina semoni,21,23,6
Chiroptera,Doryrhina stenotis,0,3,1
Chiroptera,Doryrhina wollastoni,0,0,0
Chiroptera,Dyacopterus brooksi,0,0,0
Chiroptera,Dyacopterus rickarti,0,0,0
Chiroptera,Dyacopterus spadiceus,2,10,0
Chiroptera,Ectophylla alba,0,3,0
Chiroptera,Eidolon dupreanum,0,1,6
Chiroptera,Eidolon helvum,2,14,33
Chiroptera,Emballonura alecto,0,27,44
Chiroptera,Emballonura beccarii,0,0,0
Chiroptera,Emballonura beccarli,0,0,0
Chiroptera,Emballonura dianae,0,1,0
Chiroptera,Emballonura furax,0,1,0
Chiroptera,Emballonura monticola,0,1,2
Chiroptera,Emballonura raffrayana,3,0,1
Chiroptera,Emballonura semicaudata,0,2,58
Chiroptera,Emballonura seni,0,0,0
Chiroptera,Emballonura serii,0,0,0
Chiroptera,Enchisthenes hartii,1,34,4
Chiroptera,Eonycteris major,0,4,0
Chiroptera,Eonycteris robusta,0,33,11
Chiroptera,Eonycteris spelaea,1,44,28
Chiroptera,Epomophorus angolensis,0,0,0
Chiroptera,Epomophorus anselli,0,0,0
Chiroptera,Epomophorus crypturus,0,6,8
Chiroptera,Epomophorus dobsonii,0,0,0
Chiroptera,Epomophorus gambianus,8,16,0
Chiroptera,Epomophorus grandis,0,0,0
Chiroptera,Epomophorus intermedius,0,0,0
Chiroptera,Epomophorus labiatus,0,74,6
Chiroptera,Epomophorus minor,12,16,4
Chiroptera,Epomophorus pusillus,0,29,0
Chiroptera,Epomophorus wahlbergi,0,49,22
Chiroptera,Epomops buettikoferi,0,0,0
Chiroptera,Epomops franqueti,2,30,10
Chiroptera,Eptesicus anatolicus,0,0,0
Chiroptera,Eptesicus andinus,0,1,1
Chiroptera,Eptesicus bottae,0,3,1
Chiroptera,Eptesicus brasiliensis,2,21,10
Chiroptera,Eptesicus chiriquinus,1,6,0
Chiroptera,Eptesicus diminutus,0,15,1
Chiroptera,Eptesicus floweri,0,0,0
Chiroptera,Eptesicus furinalis,8,86,14
Chiroptera,Eptesicus fuscus,105,858,212
Chiroptera,Eptesicus gobiensis,17,65,0
Chiroptera,Eptesicus guadeloupensis,0,0,0
Chiroptera,Eptesicus hottentotus,0,2,0
Chiroptera,Eptesicus innoxius,0,9,0
Chiroptera,Eptesicus isabellinus,0,1,0
Chiroptera,Eptesicus japonensis,0,0,0
Chiroptera,Eptesicus nilssonii,2,6,22
Chiroptera,Eptesicus ognevi,0,0,0
Chiroptera,Eptesicus pachyomus,0,0,0
Chiroptera,Eptesicus platyops,0,0,0
Chiroptera,Eptesicus serotinus,0,19,2
Chiroptera,Eptesicus taddeii,0,0,0
Chiroptera,Eptesicus tatei,0,0,0
Chiroptera,Eptesicus ulapesensis,0,0,0
Chiroptera,Erophylla bombifrons,10,10,12
Chiroptera,Erophylla sezekorni,2,83,137
Chiroptera,Euderma maculatum,1,5,0
Chiroptera,Eudiscoderma thongareeae,0,0,0
Chiroptera,Eudiscopus denticulus,0,0,0
Chiroptera,Eumops auripendulus,1,8,2
Chiroptera,Eumops bonariensis,0,155,1
Chiroptera,Eumops chimaera,0,0,0
Chiroptera,Eumops dabbenei,0,10,0
Chiroptera,Eumops delticus,0,0,0
Chiroptera,Eumops ferox,0,0,0
Chiroptera,Eumops floridanus,0,0,0
Chiroptera,Eumops glaucinus,0,110,8
Chiroptera,Eumops hansae,0,3,0
Chiroptera,Eumops maurus,0,0,0
Chiroptera,Eumops nanus,0,5,0
Chiroptera,Eumops patagonicus,0,1,0
Chiroptera,Eumops perotis,3,18,17
Chiroptera,Eumops trumbulli,0,0,0
Chiroptera,Eumops underwoodi,0,6,0
Chiroptera,Eumops wilsoni,0,0,0
Chiroptera,Falsistrellus mackenziei,0,0,0
Chiroptera,Falsistrellus tasmaniensis,16,16,26
Chiroptera,Furipterus horrens,1,7,1
Chiroptera,Gardnerycteris crenulatum,6,46,1
Chiroptera,Gardnerycteris keenani,0,1,0
Chiroptera,Gardnerycteris koepckeae,0,0,0
Chiroptera,Glauconycteris alboguttata,0,0,0
Chiroptera,Glauconycteris argentata,0,3,1
Chiroptera,Glauconycteris atra,0,0,0
Chiroptera,Glauconycteris beatrix,2,5,0
Chiroptera,Glauconycteris curryae,0,0,0
Chiroptera,Glauconycteris egeria,0,0,0
Chiroptera,Glauconycteris gleni,0,0,0
Chiroptera,Glauconycteris humeralis,0,1,0
Chiroptera,Glauconycteris kenyacola,0,0,0
Chiroptera,Glauconycteris machadoi,0,0,0
Chiroptera,Glauconycteris poensis,0,6,0
Chiroptera,Glauconycteris superba,0,2,0
Chiroptera,Glauconycteris variegata,0,5,1
Chiroptera,Glischropus aquilus,0,0,0
Chiroptera,Glischropus bucephalus,0,0,0
Chiroptera,Glischropus javanus,0,0,0
Chiroptera,Glischropus tylopus,0,35,10
Chiroptera,Glossophaga antillarum,0,2,0
Chiroptera,Glossophaga commissarisi,1,43,5
Chiroptera,Glossophaga leachii,0,40,0
Chiroptera,Glossophaga longirostris,0,165,26
Chiroptera,Glossophaga morenoi,2,15,0
Chiroptera,Glossophaga mutica,3,75,0
Chiroptera,Glossophaga soricina,42,656,311
Chiroptera,Glossophaga valens,0,17,123
Chiroptera,Glyphonycteris behnii,0,0,0
Chiroptera,Glyphonycteris daviesi,1,3,0
Chiroptera,Glyphonycteris sylvestris,1,5,0
Chiroptera,Haplonycteris fischeri,0,130,0
Chiroptera,Harpiocephalus harpia,3,7,0
Chiroptera,Harpiola grisea,0,0,0
Chiroptera,Harpiola isodon,0,0,0
Chiroptera,Harpyiocephalus esperoptenus,0,0,0
Chiroptera,Harpyionycteris celebensis,0,0,0
Chiroptera,Harpyionycteris whiteheadi,0,19,0
Chiroptera,Hesperoptenus blanfordi,0,0,0
Chiroptera,Hesperoptenus doriae,0,0,0
Chiroptera,Hesperoptenus gaskelli,0,0,0
Chiroptera,Hesperoptenus tickelli,0,3,0
Chiroptera,Hesperoptenus tomesi,0,2,0
Chiroptera,Hipposideros abae,0,0,0
Chiroptera,Hipposideros alongensis,0,0,0
Chiroptera,Hipposideros armiger,6,19,3
Chiroptera,Hipposideros arpiocephalus,0,0,0
