order,species,taxonKey,frozen,tissue,buffer,tissUbuff
Chiroptera,Acerodon celebensis,5218704,1,1,5,6
Chiroptera,Acerodon celebensis,8349090,0,0,0,0
Chiroptera,Acerodon humilis,5218706,0,0,6,6
Chiroptera,Acerodon jubatus,5218703,0,0,13,13
Chiroptera,Acerodon jubatus,5218705,0,0,0,0
Chiroptera,Acerodon jubatus,5706973,0,0,0,0
Chiroptera,Acerodon jubatus,5706975,0,0,0,0
Chiroptera,Acerodon jubatus,5706979,0,0,0,0
Chiroptera,Acerodon jubatus,8970941,0,0,0,0
Chiroptera,Acerodon jubatus,10781494,0,1,0,1
Chiroptera,Acerodon leucotis,5218707,0,0,0,0
Chiroptera,Acerodon leucotis,5706976,0,0,0,0
Chiroptera,Acerodon leucotis,5706980,0,0,0,0
Chiroptera,Acerodon macklotii,5218702,0,0,0,0
Chiroptera,Acerodon macklotii,5706982,0,0,0,0
Chiroptera,Acerodon macklotii,8024826,0,0,0,0
Chiroptera,Acerodon macklotii,9184404,0,0,0,0
Chiroptera,Acerodon macklotii,11305802,0,0,0,0
Chiroptera,Acerodon macklotii,11332505,0,0,0,0
Chiroptera,Acerodon macklotii,11333133,0,0,0,0
Chiroptera,Acerodon macklotii,11360223,0,0,0,0
Chiroptera,Acerodon macklotii,11360884,0,0,0,0
Chiroptera,Aeorestes cinereus,5218544,9,127,128,231
Chiroptera,Aeorestes cinereus,7193858,2,86,142,190
Chiroptera,Aeorestes cinereus,9876224,0,0,0,0
Chiroptera,Aeorestes cinereus,10270748,0,0,0,0
Chiroptera,Aeorestes cinereus,10412560,0,0,0,0
Chiroptera,Aeorestes cinereus,11138256,0,29,11,40
Chiroptera,Aeorestes egregius,5218547,0,0,0,0
Chiroptera,Aeorestes egregius,7453924,0,0,0,0
Chiroptera,Aeorestes egregius,10318957,0,0,0,0
Chiroptera,Aeorestes egregius,11116627,0,0,0,0
Chiroptera,Aeorestes semotus,5218545,0,0,11,11
Chiroptera,Aeorestes semotus,9147524,0,0,0,0
Chiroptera,Aeorestes semotus,11210232,0,0,0,0
Chiroptera,Aeorestes villosissimus,5707208,0,0,2,2
Chiroptera,Aeorestes villosissimus,9029858,0,0,0,0
Chiroptera,Aeorestes villosissimus,10441188,0,0,0,0
Chiroptera,Aeorestes villosissimus,11017121,0,1,0,1
Chiroptera,Aeorestes villosissimus,11213133,0,0,0,0
Chiroptera,Aethalops aequalis,4265673,0,0,0,0
Chiroptera,Aethalops alecto,2432974,0,17,7,19
Chiroptera,Aethalops alecto,4265670,0,0,0,0
Chiroptera,Aethalops alecto,4265671,0,0,0,0
Chiroptera,Aethalops alecto,8879778,0,0,0,0
Chiroptera,Aethalops alecto,9864905,0,0,0,0
Chiroptera,Aethalops alecto,10423957,0,0,0,0
Chiroptera,Afronycteris helios,4265918,0,0,0,0
Chiroptera,Afronycteris helios,5787606,0,0,0,0
Chiroptera,Afronycteris helios,11005299,0,0,0,0
Chiroptera,Afronycteris nanus,4265905,0,0,0,0
Chiroptera,Afronycteris nanus,4265907,0,0,0,0
Chiroptera,Afronycteris nanus,4265928,0,0,0,0
Chiroptera,Afronycteris nanus,4265929,0,0,1,1
Chiroptera,Afronycteris nanus,5218478,0,0,144,144
Chiroptera,Afronycteris nanus,7261794,2,16,6,22
Chiroptera,Afronycteris nanus,7261795,0,0,0,0
Chiroptera,Afronycteris nanus,8390341,0,3,8,11
Chiroptera,Afronycteris nanus,8740265,0,0,2,2
Chiroptera,Afronycteris nanus,8773035,0,0,0,0
Chiroptera,Afronycteris nanus,10149161,0,0,0,0
Chiroptera,Afronycteris nanus,10726961,0,0,0,0
Chiroptera,Afronycteris nanus,11201913,0,0,0,0
Chiroptera,Afronycteris nanus,11271357,0,0,0,0
Chiroptera,Alionycteris paucidentata,2432970,0,6,0,6
Chiroptera,Alionycteris paucidentata,10896003,0,0,0,0
Chiroptera,Ametrida centurio,2433235,17,39,31,69
Chiroptera,Ametrida centurio,10258146,0,0,0,0
Chiroptera,Amorphochilus schnablii,2432771,0,0,5,5
Chiroptera,Anoura aequatoris,7677336,0,37,17,37
Chiroptera,Anoura aequatoris,10993636,0,4,0,4
Chiroptera,Anoura cadenai,8017285,0,1,0,1
Chiroptera,Anoura caudifer,5963039,0,0,3,3
Chiroptera,Anoura caudifer,5963040,1,64,93,148
Chiroptera,Anoura caudifer,9983861,0,0,0,0
Chiroptera,Anoura caudifer,10624072,0,0,0,0
Chiroptera,Anoura cultrata,5963042,0,10,10,19
Chiroptera,Anoura cultrata,10060303,0,0,0,0
Chiroptera,Anoura fistulata,6100703,0,3,2,3
Chiroptera,Anoura geoffroyi,5963041,0,88,271,352
Chiroptera,Anoura geoffroyi,6075543,0,47,136,178
Chiroptera,Anoura geoffroyi,7261676,0,26,130,130
Chiroptera,Anoura geoffroyi,9091482,0,0,0,0
Chiroptera,Anoura geoffroyi,10304340,0,0,0,0
Chiroptera,Anoura geoffroyi,10378746,0,0,0,0
Chiroptera,Anoura javieri,10772218,0,0,0,0
Chiroptera,Anoura latidens,5963038,0,1,0,1
Chiroptera,Anoura latidens,8190639,0,0,0,0
Chiroptera,Anoura latidens,9909804,0,0,0,0
Chiroptera,Anoura luismanueli,6075542,0,0,0,0
Chiroptera,Anoura peruana,6075541,0,8,1,9
Chiroptera,Anoura peruana,8140031,0,1,1,2
Chiroptera,Anthops omatus,10866317,0,0,0,0
Chiroptera,Anthops ornatus,2432610,0,0,2,2
Chiroptera,Antrozous pallidus,2432339,1,152,109,256
Chiroptera,Antrozous pallidus,4266061,0,0,0,0
Chiroptera,Antrozous pallidus,4266063,0,24,40,64
Chiroptera,Antrozous pallidus,4266065,0,11,11,12
Chiroptera,Antrozous pallidus,4266066,0,24,42,56
Chiroptera,Antrozous pallidus,7261827,0,93,330,401
Chiroptera,Antrozous pallidus,9993499,0,0,0,0
Chiroptera,Antrozous pallidus,10050689,0,0,0,0
Chiroptera,Antrozous pallidus,10633744,0,0,0,0
Chiroptera,Aproteles bulmerae,2432939,0,0,0,0
Chiroptera,Archaeonycteris relicta,8501465,0,0,0,0
Chiroptera,Ardops nichollsi,2433277,0,71,70,75
Chiroptera,Ardops nichollsi,4265412,0,4,0,4
Chiroptera,Ardops nichollsi,4265413,0,0,1,1
Chiroptera,Ardops nichollsi,4265414,0,4,28,32
Chiroptera,Ardops nichollsi,4265415,0,0,36,36
Chiroptera,Ardops nichollsi,4265416,0,0,0,0
Chiroptera,Ardops nichollsi,8920176,0,0,2,2
Chiroptera,Arielulus circumdatus,4265946,0,0,0,0
Chiroptera,Arielulus circumdatus,5218466,0,0,0,0
Chiroptera,Arielulus circumdatus,10220388,0,0,0,0
Chiroptera,Arielulus cuprosus,4265949,0,2,0,2
Chiroptera,Arielulus cuprosus,5218492,0,0,0,0
Chiroptera,Arielulus societatis,4265947,0,0,0,0
Chiroptera,Arielulus societatis,5218468,0,0,0,0
Chiroptera,Ariteus flavescens,2433307,2,6,55,59
Chiroptera,Artibeus aequatorialis,4265323,0,0,0,0
Chiroptera,Artibeus aequatorialis,8022257,0,105,92,105
Chiroptera,Artibeus amplus,2433266,0,3,1,3
Chiroptera,Artibeus amplus,10007998,0,0,0,0
Chiroptera,Artibeus anderseni,2433273,2,19,39,57
Chiroptera,Artibeus anderseni,4832188,0,6,2,8
Chiroptera,Artibeus anderseni,10648400,0,0,0,0
Chiroptera,Artibeus anderseni,10902876,0,0,0,0
Chiroptera,Artibeus aztecus,2433261,0,9,29,34
Chiroptera,Artibeus aztecus,4265330,0,1,3,4
Chiroptera,Artibeus aztecus,4265338,0,0,0,0
Chiroptera,Artibeus aztecus,7261673,0,7,5,11
Chiroptera,Artibeus aztecus,7632206,0,36,14,38
Chiroptera,Artibeus aztecus,8867069,0,5,7,12
Chiroptera,Artibeus aztecus,9015483,0,85,106,117
Chiroptera,Artibeus aztecus,10036158,0,0,0,0
Chiroptera,Artibeus bogotensis,7793116,0,4,8,10
Chiroptera,Artibeus bogotensis,8219932,0,4,0,4
Chiroptera,Artibeus bogotensis,8827146,0,0,0,0
Chiroptera,Artibeus bogotensis,9857485,0,0,0,0
Chiroptera,Artibeus cinereus,2433267,6,69,269,326
Chiroptera,Artibeus cinereus,8234645,0,7,11,16
Chiroptera,Artibeus cinereus,9972542,0,0,0,0
Chiroptera,Artibeus cinereus,10612620,0,0,0,0
Chiroptera,Artibeus concolor,2433274,14,39,6,44
Chiroptera,Artibeus concolor,4832197,0,0,0,0
Chiroptera,Artibeus concolor,10071680,0,0,0,0
Chiroptera,Artibeus fimbriatus,2433268,0,87,120,161
Chiroptera,Artibeus fimbriatus,10251880,0,0,0,0
Chiroptera,Artibeus fraterculus,2433275,0,261,240,349
Chiroptera,Artibeus fraterculus,10467362,0,0,0,0
Chiroptera,Artibeus glaucus,2433262,2,25,265,276
Chiroptera,Artibeus glaucus,4832192,0,6,66,72
Chiroptera,Artibeus glaucus,10431487,0,0,0,0
Chiroptera,Artibeus gnomus,4265331,24,39,3,41
Chiroptera,Artibeus gnomus,4832191,0,0,1,1
Chiroptera,Artibeus gnomus,10525138,0,0,0,0
Chiroptera,Artibeus hirsutus,2433263,0,13,104,117
Chiroptera,Artibeus inopinatus,2433269,0,104,319,343
Chiroptera,Artibeus jamaicensis,2433272,16,872,3279,3590
Chiroptera,Artibeus jamaicensis,4265312,0,91,545,584
Chiroptera,Artibeus jamaicensis,4265314,6,27,536,551
Chiroptera,Artibeus jamaicensis,4265316,0,96,650,667
Chiroptera,Artibeus jamaicensis,4265319,0,38,240,268
Chiroptera,Artibeus jamaicensis,4265320,1,52,298,337
Chiroptera,Artibeus jamaicensis,4265321,0,66,329,380
Chiroptera,Artibeus jamaicensis,9828369,0,0,0,0
Chiroptera,Artibeus jamaicensis,10222375,0,0,0,0
Chiroptera,Artibeus jamaicensis,10461095,0,0,0,0
Chiroptera,Artibeus lituratus,2433270,16,1089,3118,3534
Chiroptera,Artibeus lituratus,4265317,0,0,0,0
Chiroptera,Artibeus lituratus,4265327,3,37,460,483
Chiroptera,Artibeus lituratus,4832182,0,95,200,217
Chiroptera,Artibeus lituratus,7261671,33,84,53,133
Chiroptera,Artibeus lituratus,9031261,0,0,0,0
Chiroptera,Artibeus lituratus,10315751,0,0,0,0
Chiroptera,Artibeus lituratus,11154978,1,47,231,243
Chiroptera,Artibeus obscurus,2433259,37,236,89,313
Chiroptera,Artibeus obscurus,7660560,0,31,0,31
Chiroptera,Artibeus obscurus,9915019,0,0,0,0
Chiroptera,Artibeus obscurus,10129191,0,0,0,0
Chiroptera,Artibeus obscurus,10554655,0,0,0,0
Chiroptera,Artibeus phaeotis,2433264,5,81,134,193
Chiroptera,Artibeus phaeotis,4265328,2,18,42,43
Chiroptera,Artibeus phaeotis,4265336,0,28,73,76
Chiroptera,Artibeus phaeotis,7261672,1,14,106,107
Chiroptera,Artibeus phaeotis,7988605,0,0,0,0
Chiroptera,Artibeus phaeotis,8263789,0,57,202,259
Chiroptera,Artibeus phaeotis,9885635,0,0,0,0
Chiroptera,Artibeus phaeotis,10280170,0,0,0,0
Chiroptera,Artibeus phaeotis,10403091,0,0,0,0
Chiroptera,Artibeus phaeotis,11226389,0,0,8,8
Chiroptera,Artibeus planirostris,2433271,0,267,204,429
Chiroptera,Artibeus planirostris,4265313,1,13,59,59
Chiroptera,Artibeus planirostris,4265318,0,0,161,161
Chiroptera,Artibeus planirostris,4265324,0,0,15,15
Chiroptera,Artibeus planirostris,4265325,0,0,15,15
Chiroptera,Artibeus planirostris,4265326,0,20,294,297
Chiroptera,Artibeus planirostris,8760661,0,0,14,14
Chiroptera,Artibeus planirostris,8812494,0,0,0,0
Chiroptera,Artibeus planirostris,8846101,0,11,11,11
Chiroptera,Artibeus planirostris,9147844,0,0,0,0
Chiroptera,Artibeus planirostris,10158532,0,0,0,0
Chiroptera,Artibeus planirostris,11115279,15,17,1,18
Chiroptera,Artibeus planirostris,11147403,2,19,28,34
Chiroptera,Artibeus planirostris,11179576,0,4,1,4
Chiroptera,Artibeus ravus,4265333,0,0,0,0
Chiroptera,Artibeus ravus,7439917,0,2,11,13
Chiroptera,Artibeus ravus,11251946,0,9,6,9
Chiroptera,Artibeus rosenbergi,5787382,0,1,0,1
Chiroptera,Artibeus rosenbergi,7719378,0,6,4,6
Chiroptera,Artibeus schwartzi,4265315,0,0,0,0
Chiroptera,Artibeus schwartzi,8038457,0,209,245,248
Chiroptera,Artibeus toltecus,2433260,0,31,218,243
Chiroptera,Artibeus toltecus,4265329,1,10,64,69
