order,species,frozen,tissue,buffer,tissUbuff
Chiroptera,Acerodon celebensis,1,1,5,6
Chiroptera,Acerodon humilis,0,0,6,6
Chiroptera,Acerodon jubatus,0,1,13,14
Chiroptera,Acerodon leucotis,0,0,0,0
Chiroptera,Acerodon macklotii,0,0,0,0
Chiroptera,Aeorestes cinereus,11,242,281,461
Chiroptera,Aeorestes egregius,0,0,0,0
Chiroptera,Aeorestes semotus,0,0,11,11
Chiroptera,Aeorestes villosissimus,0,1,2,3
Chiroptera,Aethalops aequalis,0,0,0,0
Chiroptera,Aethalops alecto,0,17,7,19
Chiroptera,Afronycteris helios,0,0,0,0
Chiroptera,Afronycteris nanus,2,19,161,180
Chiroptera,Alionycteris paucidentata,0,6,0,6
Chiroptera,Ametrida centurio,17,39,31,69
Chiroptera,Amorphochilus schnablii,0,0,5,5
Chiroptera,Anoura aequatoris,0,41,17,41
Chiroptera,Anoura cadenai,0,1,0,1
Chiroptera,Anoura caudifer,1,64,96,151
Chiroptera,Anoura cultrata,0,10,10,19
Chiroptera,Anoura fistulata,0,3,2,3
Chiroptera,Anoura geoffroyi,0,161,537,660
Chiroptera,Anoura javieri,0,0,0,0
Chiroptera,Anoura latidens,0,1,0,1
Chiroptera,Anoura luismanueli,0,0,0,0
Chiroptera,Anoura peruana,0,9,2,11
Chiroptera,Anthops omatus,0,0,0,0
Chiroptera,Anthops ornatus,0,0,2,2
Chiroptera,Antrozous pallidus,1,304,532,789
Chiroptera,Aproteles bulmerae,0,0,0,0
Chiroptera,Archaeonycteris relicta,0,0,0,0
Chiroptera,Ardops nichollsi,0,79,137,150
Chiroptera,Arielulus circumdatus,0,0,0,0
Chiroptera,Arielulus cuprosus,0,2,0,2
Chiroptera,Arielulus societatis,0,0,0,0
Chiroptera,Ariteus flavescens,2,6,55,59
Chiroptera,Artibeus aequatorialis,0,105,92,105
Chiroptera,Artibeus amplus,0,3,1,3
Chiroptera,Artibeus anderseni,2,25,41,65
Chiroptera,Artibeus aztecus,0,143,164,216
Chiroptera,Artibeus bogotensis,0,8,8,14
Chiroptera,Artibeus cinereus,6,76,280,342
