order,species,n
Chiroptera,Acerodon celebensis,152
Chiroptera,Acerodon humilis,8
Chiroptera,Acerodon jubatus,255
Chiroptera,Acerodon leucotis,48
Chiroptera,Acerodon macklotii,45
Chiroptera,Aeorestes cinereus,5360
Chiroptera,Aeorestes egregius,25
Chiroptera,Aeorestes semotus,184
Chiroptera,Aeorestes villosissimus,65
Chiroptera,Aethalops aequalis,62
Chiroptera,Aethalops alecto,179
Chiroptera,Afronycteris helios,80
Chiroptera,Afronycteris nanus,3742
Chiroptera,Alionycteris paucidentata,23
Chiroptera,Ametrida centurio,993
Chiroptera,Amorphochilus schnablii,91
Chiroptera,Anoura aequatoris,96
Chiroptera,Anoura cadenai,20
Chiroptera,Anoura caudifer,1448
Chiroptera,Anoura cultrata,289
Chiroptera,Anoura fistulata,22
Chiroptera,Anoura geoffroyi,4547
Chiroptera,Anoura javieri,5
Chiroptera,Anoura latidens,117
Chiroptera,Anoura luismanueli,19
Chiroptera,Anoura peruana,520
Chiroptera,Anthops omatus,1
Chiroptera,Anthops ornatus,18
Chiroptera,Antrozous pallidus,7440
Chiroptera,Aproteles bulmerae,9
Chiroptera,Archaeonycteris relicta,6
Chiroptera,Ardops nichollsi,292
Chiroptera,Arielulus circumdatus,55
Chiroptera,Arielulus cuprosus,12
Chiroptera,Arielulus societatis,11
Chiroptera,Ariteus flavescens,344
Chiroptera,Artibeus aequatorialis,142
Chiroptera,Artibeus amplus,212
Chiroptera,Artibeus anderseni,593
Chiroptera,Artibeus aztecus,1390
Chiroptera,Artibeus bogotensis,437
Chiroptera,Artibeus cinereus,2703
Chiroptera,Artibeus concolor,739
Chiroptera,Artibeus fimbriatus,463
Chiroptera,Artibeus fraterculus,949
Chiroptera,Artibeus glaucus,1774
Chiroptera,Artibeus gnomus,759
Chiroptera,Artibeus hirsutus,1062
Chiroptera,Artibeus inopinatus,450
Chiroptera,Artibeus jamaicensis,28604
Chiroptera,Artibeus lituratus,22456
Chiroptera,Artibeus obscurus,4117
Chiroptera,Artibeus phaeotis,5898
Chiroptera,Artibeus planirostris,8254
Chiroptera,Artibeus ravus,122
Chiroptera,Artibeus rosenbergi,67
Chiroptera,Artibeus schwartzi,441
Chiroptera,Artibeus toltecus,4026
Chiroptera,Artibeus watsoni,1687
Chiroptera,Asellia arabica,4
Chiroptera,Asellia italosomalica,12
Chiroptera,Asellia patrizii,32
Chiroptera,Asellia tridens,1884
Chiroptera,Aselliscus dongbacanus,33
Chiroptera,Aselliscus stoliczkanus,407
Chiroptera,Aselliscus tricuspidatus,1315
Chiroptera,Austronomus australis,925
Chiroptera,Austronomus kuboriensis,8
Chiroptera,Balantiopteryx infosca,1
Chiroptera,Balantiopteryx infusca,7
Chiroptera,Balantiopteryx io,1128
Chiroptera,Balantiopteryx plicata,6106
