order,species,taxonKey,n
Chiroptera,Acerodon celebensis,5218704,151
Chiroptera,Acerodon celebensis,8349090,1
Chiroptera,Acerodon humilis,5218706,8
Chiroptera,Acerodon jubatus,5218703,106
Chiroptera,Acerodon jubatus,5218705,4
Chiroptera,Acerodon jubatus,5706973,43
Chiroptera,Acerodon jubatus,5706975,4
Chiroptera,Acerodon jubatus,5706979,94
Chiroptera,Acerodon jubatus,8970941,2
Chiroptera,Acerodon jubatus,10781494,2
Chiroptera,Acerodon leucotis,5218707,17
Chiroptera,Acerodon leucotis,5706976,6
Chiroptera,Acerodon leucotis,5706980,25
Chiroptera,Acerodon macklotii,5218702,6
Chiroptera,Acerodon macklotii,5706982,4
Chiroptera,Acerodon macklotii,8024826,1
Chiroptera,Acerodon macklotii,9184404,1
Chiroptera,Acerodon macklotii,11305802,10
Chiroptera,Acerodon macklotii,11332505,16
Chiroptera,Acerodon macklotii,11333133,2
Chiroptera,Acerodon macklotii,11360223,1
Chiroptera,Acerodon macklotii,11360884,4
Chiroptera,Aeorestes cinereus,5218544,2810
Chiroptera,Aeorestes cinereus,7193858,1848
Chiroptera,Aeorestes cinereus,9876224,2
Chiroptera,Aeorestes cinereus,10270748,208
Chiroptera,Aeorestes cinereus,10412560,55
Chiroptera,Aeorestes cinereus,11138256,437
Chiroptera,Aeorestes egregius,5218547,9
Chiroptera,Aeorestes egregius,7453924,1
Chiroptera,Aeorestes egregius,10318957,5
Chiroptera,Aeorestes egregius,11116627,10
Chiroptera,Aeorestes semotus,5218545,168
Chiroptera,Aeorestes semotus,9147524,2
Chiroptera,Aeorestes semotus,11210232,14
Chiroptera,Aeorestes villosissimus,5707208,55
Chiroptera,Aeorestes villosissimus,9029858,1
Chiroptera,Aeorestes villosissimus,10441188,3
Chiroptera,Aeorestes villosissimus,11017121,5
Chiroptera,Aeorestes villosissimus,11213133,1
Chiroptera,Aethalops aequalis,4265673,62
Chiroptera,Aethalops alecto,2432974,123
Chiroptera,Aethalops alecto,4265670,32
Chiroptera,Aethalops alecto,4265671,4
Chiroptera,Aethalops alecto,8879778,1
Chiroptera,Aethalops alecto,9864905,2
Chiroptera,Aethalops alecto,10423957,17
Chiroptera,Afronycteris helios,4265918,22
Chiroptera,Afronycteris helios,5787606,57
Chiroptera,Afronycteris helios,11005299,1
Chiroptera,Afronycteris nanus,4265905,5
Chiroptera,Afronycteris nanus,4265907,1
Chiroptera,Afronycteris nanus,4265928,3
Chiroptera,Afronycteris nanus,4265929,35
Chiroptera,Afronycteris nanus,5218478,1941
Chiroptera,Afronycteris nanus,7261794,1135
Chiroptera,Afronycteris nanus,7261795,10
Chiroptera,Afronycteris nanus,8390341,445
Chiroptera,Afronycteris nanus,8740265,32
Chiroptera,Afronycteris nanus,8773035,1
Chiroptera,Afronycteris nanus,10149161,1
Chiroptera,Afronycteris nanus,10726961,1
Chiroptera,Afronycteris nanus,11201913,131
Chiroptera,Afronycteris nanus,11271357,1
Chiroptera,Alionycteris paucidentata,2432970,20
Chiroptera,Alionycteris paucidentata,10896003,3
Chiroptera,Ametrida centurio,2433235,839
Chiroptera,Ametrida centurio,10258146,154
Chiroptera,Amorphochilus schnablii,2432771,91
Chiroptera,Anoura aequatoris,7677336,77
